hamilton–jacobi–bellman equation	nonlinear system	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}
hamilton–jacobi–bellman equation	simulation	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
hamilton–jacobi–bellman equation	dynamic programming	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
hamilton–jacobi–bellman equation	bellman equation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
hamilton–jacobi–bellman equation	optimal control	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}
hamilton–jacobi–bellman equation	neural networks	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
hamilton–jacobi–bellman equation	neural network simulation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
hamilton–jacobi–bellman equation	markov decision process	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
jacobi method	iteration	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
jacobi method	nonlinear system	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
jacobi method	bellman equation	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
jacobi method	algorithm	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
jacobi method	optimal control	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
jacobi method	neural network simulation	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
jacobi method	markov decision process	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
iteration	nonlinear system	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 6, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}
iteration	dynamic programming	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
iteration	bellman equation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
iteration	algorithm	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3, '16f9c272567ea0b89be8572e5a3097cc6f80a9f1': 2}
iteration	optimal control	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 6, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}
iteration	neural networks	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
iteration	neural network simulation	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
iteration	markov decision process	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 5, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}
nonlinear system	simulation	{'5817c1fddf842b6b0dfc888cac6d4157224e28b6': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4, '2d511ad1699965b89a2039e8b92a83e41b7b7aa5': 3, 'd27c592254ac8088026f3beff99892311ae0a6c4': 3, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 3, '3b2d0bb85ab0146cb7905a1f212ed1aad6410f05': 2, '8070a5ab9c85134ea82953e4ec9d0b3cc1ae36a1': 2, 'ad4b5e3fd973f66e779be6cd8e00f23efa3fb5b7': 2}
nonlinear system	dynamic programming	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 4, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 5}
nonlinear system	bellman equation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 5, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}
nonlinear system	algorithm	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
nonlinear system	optimal control	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 4, '5817c1fddf842b6b0dfc888cac6d4157224e28b6': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 9, 'd27c592254ac8088026f3beff99892311ae0a6c4': 4, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 4}
nonlinear system	neural networks	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
nonlinear system	neural network simulation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3, '622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '32b16cb9e2b8dbbf68b92fc5cf73f7894036cf8f': 2}
nonlinear system	markov decision process	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 5, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}
simulation	dynamic programming	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
simulation	bellman equation	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
simulation	algorithm	{'982ee9c344f48f222592fda0269fbe4db0f9602d': 2}
simulation	optimal control	{'5817c1fddf842b6b0dfc888cac6d4157224e28b6': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4, 'd27c592254ac8088026f3beff99892311ae0a6c4': 3, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 3}
simulation	markov decision process	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
dynamic programming	bellman equation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}
dynamic programming	algorithm	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
dynamic programming	optimal control	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 5, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 6}
dynamic programming	neural networks	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
dynamic programming	neural network simulation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
dynamic programming	markov decision process	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
bellman equation	algorithm	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
bellman equation	optimal control	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 5, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}
bellman equation	neural networks	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
bellman equation	neural network simulation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
bellman equation	markov decision process	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
algorithm	optimal control	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}
algorithm	neural network simulation	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
algorithm	markov decision process	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
optimal control	neural networks	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
optimal control	neural network simulation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
optimal control	markov decision process	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 5, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}
neural networks	markov decision process	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
neural network simulation	markov decision process	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
artificial neural network	recurrent neural network	{'76eddfeade1369f7f9e147ad8ae2fb6fc83e274d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 4, '2db48c556f2a30de3dd1b7c0637795edda0ade01': 4, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2, 'd1ff0012baa955ea57e926ed1e56903fe7be4a26': 2, 'bed933baeebbe4a30569b62de63515d730e3de60': 2, 'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2}
artificial neural network	lyapunov fractal	{'8a007601dbdf779d9423c0575292116f50ef4667': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4, '612b62f679ae27d1bda55eb93328c28b921a2adf': 2, '7cca44dc8b68284bb8837b301a5424da38f568ed': 2, 'f2e71ea4db322850257baf17d3166f81616b96ab': 3, '2fe18f292cf7609751fc0972983a9344ec3dda88': 3, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, '1f8fd061aec720023764196e829c45091e430a49': 2, '9bb783a1070252da867412d1e38fff8a06b8e4c8': 2}
artificial neural network	neural network simulation	{'202cb0664792c724bbfecac25d99957dd37e13f2': 2, '622cd0cd6537cf0b6019460bf5af870a939f4230': 4, '32b16cb9e2b8dbbf68b92fc5cf73f7894036cf8f': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2, 'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2, '4315ce8a394eaccda5ad9b8714ff77d39c87ac65': 2, '612b62f679ae27d1bda55eb93328c28b921a2adf': 2, '7cca44dc8b68284bb8837b301a5424da38f568ed': 2, 'e30b354bfd68af8cdaef76b4d865630a10508ff3': 2, '6815d26cf8d06fe99e2a14a60171dd60245715b8': 2}
lyapunov fractal	neural network simulation	{'612b62f679ae27d1bda55eb93328c28b921a2adf': 2, '7cca44dc8b68284bb8837b301a5424da38f568ed': 2}
algorithm	mathematical optimization	{'5f75b53d7b3ec7caae2dbacbc7cf7a24d106f7c1': 2, 'd42cc779e968482f2597e516c5082f2acf19f79b': 2, 'afd12ca1b265b66ca2bd42ddc158976ac2f53d0c': 2, 'b66eeba3fcf6321cfc833817bb76aa746b62bf84': 2}
algorithm	optimization problem	{'afd12ca1b265b66ca2bd42ddc158976ac2f53d0c': 2, 'b66eeba3fcf6321cfc833817bb76aa746b62bf84': 2}
mathematical optimization	optimization problem	{'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2, 'afd12ca1b265b66ca2bd42ddc158976ac2f53d0c': 2, 'b66eeba3fcf6321cfc833817bb76aa746b62bf84': 2}
mathematical optimization	feature selection	{'88722517ea3bdea2c767436f1c3981ddb1604a3f': 2}
particle swarm optimization	premature convergence	{'8b707a1fe1db031276f419c33e56b7ef4fe0cacf': 2, 'be1bdf67a8c276bffc036bbf880186190d18dbad': 3, '854c26751f623ec6fb0207235d82e9ceb20d5ba9': 3}
particle swarm optimization	velocity (software development)	{'854c26751f623ec6fb0207235d82e9ceb20d5ba9': 3, 'be1bdf67a8c276bffc036bbf880186190d18dbad': 3}
velocity (software development)	mathematical optimization	{'854c26751f623ec6fb0207235d82e9ceb20d5ba9': 3, 'be1bdf67a8c276bffc036bbf880186190d18dbad': 3}
sampling (signal processing)	noise reduction	{'de22a082f58adf921390d3db31f75ad33056db79': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2}
natural language	knowledge base	{'f036383fefd8daddd86c6de19ab1f6242981a793': 2}
natural language	sentiment analysis	{'f036383fefd8daddd86c6de19ab1f6242981a793': 2}
knowledge base	sentiment analysis	{'f036383fefd8daddd86c6de19ab1f6242981a793': 2}
mathematical optimization	experiment	{'31e7de2233e356105629e9900b3cb20ec9b9bba6': 2}
benchmark (computing)	mathematical optimization	{'a13e27cbcd4e8115154b58eccc54119060197b13': 2, '854c26751f623ec6fb0207235d82e9ceb20d5ba9': 4, 'be1bdf67a8c276bffc036bbf880186190d18dbad': 4}
mathematical optimization	evolutionary algorithm	{'6edf78bcf02138a0e0130d9929bfa3a7049417d7': 2, '948ee79d4209a5d184134be2fa87fff380768141': 2, 'b3805565ac1ed33932824a7695b3a721bfe2f3fc': 2, 'd4cc705ad87f0a7e0c551c7c3cca09115237a0ac': 2, '0106083db63eef5b77fdd3088a8f970fad7900f4': 2}
xiang zhang	artificial neural network	{'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2}
xiang zhang	convolutional neural network	{'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2}
artificial neural network	convolutional neural network	{'5ee814c1094d420dc2612fc3453e401b5787f361': 2, 'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2, '102b96462d3fcb3f1495fd218c761c210eda0e05': 2}
artificial neural network	algorithm	{'5ee814c1094d420dc2612fc3453e401b5787f361': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3, '8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2}
artificial neural network	experiment	{'31e7de2233e356105629e9900b3cb20ec9b9bba6': 2}
convolutional neural network	algorithm	{'5ee814c1094d420dc2612fc3453e401b5787f361': 2, 'bf64de56292663ded5487aff7dd904d07a89c394': 2}
algorithm	experiment	{'4ccfbd41bf92960b23a11f59672c28cc08eb0655': 2, 'e1c3721516e2db714cb23e3d71a4231054ba0462': 2}
artificial neural network	simulation	{'d27c592254ac8088026f3beff99892311ae0a6c4': 3, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
artificial neural network	mathematical optimization	{'202cb0664792c724bbfecac25d99957dd37e13f2': 2}
simulation	reinforcement learning	{'4a2d2dfc21dd2883f339cc0b82d7238cef659fb3': 2}
particle swarm optimization	uncertainty	{'202cb0664792c724bbfecac25d99957dd37e13f2': 2, '113dc1d0ac332267d97c7f61b1bf60d67e1995f4': 2}
mathematical optimization	neural network simulation	{'202cb0664792c724bbfecac25d99957dd37e13f2': 2}
artificial neural network	neural network	{'6815d26cf8d06fe99e2a14a60171dd60245715b8': 2}
artificial neural network	nonlinear system	{'d27c592254ac8088026f3beff99892311ae0a6c4': 4, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 4, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 6, '622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '32b16cb9e2b8dbbf68b92fc5cf73f7894036cf8f': 2, '8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '9bb783a1070252da867412d1e38fff8a06b8e4c8': 2}
simulation	cognitive radio	{'ae7c8f6e2448d3a76589566e4caa070f1c400e3f': 2}
cognitive radio	interference (communication)	{'086598030db85ac20bbeb56d02702e664433ee21': 2}
cognitive radio	transmitter	{'e75102178b59719a716daafd23a7ca5f98f71ba5': 2}
interference (communication)	mathematical optimization	{'43ba10fa6781606aeb4fefd0f5e209dc2e57e67b': 2}
ilya sutskever	convolutional neural network	{'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2}
ilya sutskever	geoffrey e. hinton	{'bed933baeebbe4a30569b62de63515d730e3de60': 3, 'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2}
ilya sutskever	alex krizhevsky	{'bed933baeebbe4a30569b62de63515d730e3de60': 2, 'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2}
convolutional neural network	geoffrey e. hinton	{'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2}
convolutional neural network	alex krizhevsky	{'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2}
geoffrey e. hinton	alex krizhevsky	{'bed933baeebbe4a30569b62de63515d730e3de60': 2, 'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2}
simulation	lyapunov fractal	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2}
sampling - surgical action	lyapunov fractal	{'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2}
sampling - surgical action	mathematical optimization	{'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2}
sampling - surgical action	optimization problem	{'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2}
fuzzy control system	lyapunov fractal	{'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2}
lyapunov fractal	mathematical optimization	{'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2, 'b3805565ac1ed33932824a7695b3a721bfe2f3fc': 2, 'd4cc705ad87f0a7e0c551c7c3cca09115237a0ac': 2, '0106083db63eef5b77fdd3088a8f970fad7900f4': 2}
lyapunov fractal	optimization problem	{'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2}
linear matrix inequalities	genetic regulatory networks	{'f2e71ea4db322850257baf17d3166f81616b96ab': 2, '1dfd55d472f1f9b3f7518b1727fee1ee749ce840': 2}
nonlinear system	lyapunov fractal	{'0106083db63eef5b77fdd3088a8f970fad7900f4': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, '9bb783a1070252da867412d1e38fff8a06b8e4c8': 2}
nonlinear system	numerical analysis	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '32b16cb9e2b8dbbf68b92fc5cf73f7894036cf8f': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2, '8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2}
algorithm	numerical analysis	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2, '8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2}
algorithm	machine learning	{'bf64de56292663ded5487aff7dd904d07a89c394': 2, '32204cd1f92a812be1bacbcf6f9bd9f1a1fbd010': 2}
numerical analysis	mathematical optimization	{'b610370486ebcec9080188afd35a654af82003e2': 2}
kyunghyun cho	artificial neural network	{'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 3, '8d5deff2acb14940c220d0932f99f9aed3e28ec0': 2, '61c36459efe2c9bef932636df57d637c4f1da92d': 2}
kyunghyun cho	oriol vinyals	{'61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
kyunghyun cho	quoc v. le	{'61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
kyunghyun cho	ilya sutskever	{'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 3, '8d5deff2acb14940c220d0932f99f9aed3e28ec0': 2, '61c36459efe2c9bef932636df57d637c4f1da92d': 2}
kyunghyun cho	jacob devlin	{'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
kyunghyun cho	yoshua bengio	{'61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
artificial neural network	oriol vinyals	{'61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
artificial neural network	quoc v. le	{'61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
artificial neural network	ilya sutskever	{'bed933baeebbe4a30569b62de63515d730e3de60': 3, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 3, '8d5deff2acb14940c220d0932f99f9aed3e28ec0': 2, '61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2}
artificial neural network	alex graves	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
artificial neural network	navdeep jaitly	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
artificial neural network	geoffrey e. hinton	{'bed933baeebbe4a30569b62de63515d730e3de60': 3, 'b17a2489023d7f9d803ef1f2a57bf6e41fa5e1af': 2}
artificial neural network	jacob devlin	{'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
artificial neural network	abdel-rahman mohamed	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
artificial neural network	yoshua bengio	{'bed933baeebbe4a30569b62de63515d730e3de60': 2, '61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
oriol vinyals	quoc v. le	{'61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
oriol vinyals	ilya sutskever	{'61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
oriol vinyals	yoshua bengio	{'61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
quoc v. le	ilya sutskever	{'61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
quoc v. le	yoshua bengio	{'61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
ilya sutskever	alex graves	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
ilya sutskever	navdeep jaitly	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
ilya sutskever	jacob devlin	{'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
ilya sutskever	abdel-rahman mohamed	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
ilya sutskever	yoshua bengio	{'bed933baeebbe4a30569b62de63515d730e3de60': 2, '61c36459efe2c9bef932636df57d637c4f1da92d': 2, 'f4a90d6cffb95c789c1318406b3ceed9ba709d28': 2}
alex graves	navdeep jaitly	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
alex graves	geoffrey e. hinton	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
alex graves	abdel-rahman mohamed	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
navdeep jaitly	geoffrey e. hinton	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
navdeep jaitly	abdel-rahman mohamed	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
geoffrey e. hinton	abdel-rahman mohamed	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
geoffrey e. hinton	yoshua bengio	{'bed933baeebbe4a30569b62de63515d730e3de60': 2}
fuzzy set	indexes	{'7d00035496b77135a60f3673821b83ae8142784a': 2}
sampling (signal processing)	experiment	{'de22a082f58adf921390d3db31f75ad33056db79': 2, '31e7de2233e356105629e9900b3cb20ec9b9bba6': 2}
