distributed delays	linear matrix inequality	{'d3afe3566a7c47dc157553ac27da43011c248b3b': 2, 'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2}
numerical analysis	linear matrix inequality	{'e0ea07db79e7b241da31021fbb893a30feaafd47': 2}
numerical analysis	lyapunov fractal	{'e0ea07db79e7b241da31021fbb893a30feaafd47': 2}
global exponential stability	periodic solution	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
periodic solution	neural networks	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
phy (chip)	cognitive radio	{'72b785b3228f289cee300b5b3e73adcabdc2b928': 2}
finite-state machine	feature vector	{'f14db434877d428ac1e834cc9632260aa414286f': 2}
finite-state machine	mathematical induction	{'f14db434877d428ac1e834cc9632260aa414286f': 2}
feature vector	mathematical induction	{'f14db434877d428ac1e834cc9632260aa414286f': 2}
arachnoid spinal space	biomedical application	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
arachnoid spinal space	tiny space	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
arachnoid spinal space	strongly challenging	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
arachnoid spinal space	delicate anatomical structures	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
arachnoid spinal space	paper refers	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
biomedical application	tiny space	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
biomedical application	strongly challenging	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
biomedical application	delicate anatomical structures	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
biomedical application	paper refers	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
tiny space	strongly challenging	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
tiny space	delicate anatomical structures	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
tiny space	paper refers	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
strongly challenging	delicate anatomical structures	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
strongly challenging	paper refers	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
delicate anatomical structures	paper refers	{'dfadc17c017bce56ad2954501adaa6e9ad1c91e9': 2, '185ee3892c76a59cf9d67805a58ed874427ddaf2': 2}
algorithm	optimization problem	{'67f04fad3a4d25bba3b36865bfbf89ddfcd9fbaa': 2}
discrete delays	global asymptotic stability	{'d3afe3566a7c47dc157553ac27da43011c248b3b': 2, 'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2}
discrete delays	distributed delays	{'d3afe3566a7c47dc157553ac27da43011c248b3b': 2, 'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2}
global asymptotic stability	distributed delays	{'d3afe3566a7c47dc157553ac27da43011c248b3b': 2, 'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2}
artificial neural network	algorithm	{'fba3f3497b2444979e5f41b3bb31a83129b3a6ab': 2}
algorithm	linear discriminant analysis	{'13d1799f014f56515c59ceb16649a2b1b26a5a0a': 2}
stochastic systems	hopfield neural networks	{'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2}
stochastic systems	lyapunov–krasovskii functional	{'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2}
stochastic systems	global asymptotic stability	{'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2}
stochastic systems	uncertain systems	{'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2}
hopfield neural networks	lyapunov–krasovskii functional	{'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2}
hopfield neural networks	global asymptotic stability	{'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2}
hopfield neural networks	linear matrix inequality	{'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2}
hopfield neural networks	uncertain systems	{'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2}
lyapunov–krasovskii functional	uncertain systems	{'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2}
global asymptotic stability	uncertain systems	{'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2}
linear matrix inequality	uncertain systems	{'bc701521bfaffae0a37ea5e9e609a3d99b62e99b': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2}
particle swarm optimization	quantum	{'42c6b17862f6a71fd2223905e22f350b9c7b2d72': 2}
quantum	algorithm	{'42c6b17862f6a71fd2223905e22f350b9c7b2d72': 2}
